SIGNAL_ID,CROSS_NM,SIGNAL_GROUP,SHAPE
553700028,우명네거리,93,127.302841,36.22427
553700041,평촌마을회관(단),93,127.318199,36.239105
553700134,오동(단),93,127.309013,36.230965
553700178,기성초교(단),94,127.336166,36.250584
553700181,새터(단),94,127.325345,36.243647
553700184,사기점골(단),,127.32185,36.241068
553701278,협신통신(단),93,127.319688,36.239803
553701841,우명교삼거리,93,127.305206,36.230366
553800016,흑석네거리,,127.340469,36.254436
553800040,용자리골삼거리,,127.345879,36.261845
553800055,계룡역삼거리,,127.281441,36.267033
553800079,느리울중네거리,69,127.340538,36.296501
553800117,방동삼거리,32,127.310944,36.285099
553800133,산성교회네거리,115,127.370041,36.302521
553800141,서부간선삼거리,49,127.368927,36.313122
553800205,코스모스아파트사거리,115,127.365005,36.298874
553800209,진잠초교네거리,,127.316132,36.298599
553800230,진잠초교네거리,,127.31588,36.299297
553800263,정림우체국삼거리,115,127.367043,36.300667
553800287,대정홈플러스삼거리,,127.319916,36.313225
553800315,가수원초교삼거리,92,127.354385,36.302181
553800317,정림초교네거리,,127.366165,36.302544
553800340,정림초교삼거리,,127.365768,36.303993
553800346,정림초교삼거리,,127.365654,36.304428
553800354,솔마루네거리,,127.31694,36.30328
553800356,솔마루네거리,,127.318153,36.303623
553800391,구봉농장삼거리,124,127.320038,36.288895
553800440,교촌삼거리,55,127.320549,36.304302
553800455,대정삼거리,55,127.318382,36.309498
553800467,관저3지구네거리,69,127.340607,36.30022
553800468,느리울유치원네거리,69,127.338409,36.298939
553800471,느리울12단지네거리,69,127.340561,36.297821
553800472,관저주공삼거리,69,127.343376,36.299152
553800532,배재대(단),49,127.371284,36.316845
553800549,조달청네거리,49,127.371033,36.319305
553800552,씨아골네거리,55,127.313858,36.319859
553800559,경남APT삼거리,49,127.370377,36.321022
553800574,경남아파트네거리,49,127.370232,36.322502
553800589,대아APT(단),49,127.370369,36.325096
553800594,서대전여고네거리,49,127.370407,36.326237
553800610,변전소(단),199,127.372581,36.327454
553800631,수정재네거리,49,127.370598,36.329292
553800740,승상골삼거리,94,127.338814,36.25351
553800748,원내네거리,,127.317871,36.299591
553800758,교촌네거리,32,127.322586,36.299843
553800806,원내차고지삼거리,,127.318916,36.293755
553800813,관저4지구네거리,69,127.326591,36.29715
553800816,관저2동주민센터네거리,69,127.334869,36.298897
553800817,구봉초교네거리,69,127.329353,36.298908
553800819,관저타워네거리,69,127.340584,36.299038
553800820,느리울아파트네거리,69,127.344757,36.299194
553800835,건양대병원삼거리(47번3),106,127.340665,36.306281
553800933,삼성운전학원(단),115,127.369102,36.301922
553800935,외마루들네거리,55,127.317192,36.311775
553800943,대정물류센터네거리,,127.319931,36.316547
553801061,기성PB네거리,,127.34259,36.255253
553801088,구봉마을8단지(단),69,127.331261,36.298927
553801091,관저우체국(단),106,127.337051,36.303051
553801118,대정홈플러스삼거리,,127.319939,36.314522
553801158,교촌초교삼거리,,127.317581,36.305019
553801297,금동초교네거리,69,127.327621,36.298279
553801371,관저더샵1단지네거리,,127.33046,36.294273
553801397,해맑음교회삼거리,69,127.344765,36.301846
553801423,관저대자연(단),106,127.337074,36.306389
553801500,원앙초교(단),,127.337067,36.309658
553801663,복수고교삼거리,73,127.371307,36.304928
553801819,지선농장(단),55,127.312859,36.322754
553802556,정림중(단),115,127.361893,36.293804
553802606,가수원삼거리,92,127.356651,36.296257
553802613,대전공고삼거리,,127.317139,36.295422
553802642,내동중(단),29,127.371277,36.332062
553802655,샘물타운네거리,,127.320076,36.299843
553802666,도마중삼거리,49,127.371338,36.318115
